County Name,State,9/10/20,population,Per Capita
Contra Costa County,CA,14966,1153526,1297
Humboldt County,CA,442,135558,326
Los Angeles County,CA,249859,10039107,2488
Riverside County,CA,54868,2470546,2220
Sacramento County,CA,19669,1552058,1267
San Joaquin County,CA,18528,762148,2431
Denver County,CO,11627,727211,1598
Polk County,IA,14269,490161,2911
Johnson County,KS,9147,602401,1518
Wyandotte County,KS,6416,165429,3878
Santa Fe County,NM,882,150358,586
Harnett County,NC,1812,135976,1332
McDowell County,NC,840,45756,1835
