County Name,State,9/13/20,population,Per Capita,Current Date
Contra Costa County,CA,15203,1153526,1317,9/13/20
Humboldt County,CA,452,135558,333,9/13/20
Los Angeles County,CA,253176,10039107,2521,9/13/20
Riverside County,CA,55073,2470546,2229,9/13/20
Sacramento County,CA,20063,1552058,1292,9/13/20
San Joaquin County,CA,18687,762148,2451,9/13/20
Denver County,CO,11760,727211,1617,9/13/20
Polk County,IA,14385,490161,2934,9/13/20
Johnson County,KS,9350,602401,1552,9/13/20
Wyandotte County,KS,6492,165429,3924,9/13/20
Santa Fe County,NM,893,150358,593,9/13/20
Harnett County,NC,1847,135976,1358,9/13/20
McDowell County,NC,858,45756,1875,9/13/20
